index,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,url
85,Please Don't Go,Mike Posner,dance pop,2011,120,88,70,-4,13,66,197,0,3,63,https://api.vagalume.com.br/search.php?art=Mike%20Posner&mus=Please%20Don%27t%20Go&apikey=7789e585a72c1c95ab44a555ccc2b4e4
86,We Found Love,Rihanna,barbadian pop,2011,128,77,73,-4,11,60,215,3,4,61,https://api.vagalume.com.br/search.php?art=Rihanna&mus=We%20Found%20Love&apikey=7789e585a72c1c95ab44a555ccc2b4e4
87,Marry The Night,Lady Gaga,dance pop,2011,131,88,61,-4,46,38,265,0,6,61,https://api.vagalume.com.br/search.php?art=Lady%20Gaga&mus=Marry%20The%20Night&apikey=7789e585a72c1c95ab44a555ccc2b4e4
88,1+1,Beyoncé,dance pop,2011,63,38,30,-7,7,26,274,38,3,60,https://api.vagalume.com.br/search.php?art=Beyonc%C3%A9&mus=1%2B1&apikey=7789e585a72c1c95ab44a555ccc2b4e4
89,Hold It Against Me,Britney Spears,dance pop,2011,133,72,65,-5,24,39,229,1,4,59,https://api.vagalume.com.br/search.php?art=Britney%20Spears&mus=Hold%20It%20Against%20Me&apikey=7789e585a72c1c95ab44a555ccc2b4e4
90,I'm Into You,Jennifer Lopez,dance pop,2011,84,75,59,-4,8,70,200,2,14,59,https://api.vagalume.com.br/search.php?art=Jennifer%20Lopez&mus=I%27m%20Into%20You&apikey=7789e585a72c1c95ab44a555ccc2b4e4
91,Papi,Jennifer Lopez,dance pop,2011,120,81,71,-5,37,89,223,13,6,58,https://api.vagalume.com.br/search.php?art=Jennifer%20Lopez&mus=Papi&apikey=7789e585a72c1c95ab44a555ccc2b4e4
92,Cheers (Drink To That),Rihanna,barbadian pop,2011,80,91,58,-4,29,73,262,2,4,58,https://api.vagalume.com.br/search.php?art=Rihanna&mus=Cheers%20%28Drink%20To%20That%29&apikey=7789e585a72c1c95ab44a555ccc2b4e4
93,S&M Remix,Rihanna,barbadian pop,2011,128,81,82,-3,5,89,257,5,5,54,https://api.vagalume.com.br/search.php?art=Rihanna&mus=S%26M%20Remix&apikey=7789e585a72c1c95ab44a555ccc2b4e4
94,Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2011,91,95,64,-4,18,57,220,6,7,52,https://api.vagalume.com.br/search.php?art=Tinie%20Tempah&mus=Written%20in%20the%20Stars%20%28feat.%20Eric%20Turner%29&apikey=7789e585a72c1c95ab44a555ccc2b4e4
95,Jar of Hearts,Christina Perri,dance pop,2011,75,35,35,-6,12,9,247,73,3,50,https://api.vagalume.com.br/search.php?art=Christina%20Perri&mus=Jar%20of%20Hearts&apikey=7789e585a72c1c95ab44a555ccc2b4e4
96,Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2011,80,86,45,-5,26,58,329,7,39,49,https://api.vagalume.com.br/search.php?art=T.I.&mus=Castle%20Walls%20%28feat.%20Christina%20Aguilera%29&apikey=7789e585a72c1c95ab44a555ccc2b4e4
97,Turning Page,Sleeping At Last,acoustic pop,2011,125,38,30,-8,11,19,255,91,3,46,https://api.vagalume.com.br/search.php?art=Sleeping%20At%20Last&mus=Turning%20Page&apikey=7789e585a72c1c95ab44a555ccc2b4e4
98,Super Bass,Nicki Minaj,dance pop,2011,127,74,77,-7,40,59,201,6,23,38,https://api.vagalume.com.br/search.php?art=Nicki%20Minaj&mus=Super%20Bass&apikey=7789e585a72c1c95ab44a555ccc2b4e4
99,Raise Your Glass,P!nk,dance pop,2011,122,64,68,-7,12,56,208,0,12,38,https://api.vagalume.com.br/search.php?art=P%21nk&mus=Raise%20Your%20Glass&apikey=7789e585a72c1c95ab44a555ccc2b4e4
100,Invading My Mind,Jennifer Lopez,dance pop,2011,129,88,73,-4,32,69,201,2,7,31,https://api.vagalume.com.br/search.php?art=Jennifer%20Lopez&mus=Invading%20My%20Mind&apikey=7789e585a72c1c95ab44a555ccc2b4e4
101,Moment 4 Life - Album Version (Edited),Nicki Minaj,dance pop,2011,130,88,50,-4,22,37,279,39,38,28,https://api.vagalume.com.br/search.php?art=Nicki%20Minaj&mus=Moment%204%20Life%20-%20Album%20Version%20%28Edited%29&apikey=7789e585a72c1c95ab44a555ccc2b4e4
102,Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2011,126,81,65,-4,67,72,231,0,4,27,https://api.vagalume.com.br/search.php?art=Katy%20Perry&mus=Last%20Friday%20Night%20%28T.G.I.F.%29&apikey=7789e585a72c1c95ab44a555ccc2b4e4
103,Firework,Katy Perry,dance pop,2011,124,83,64,-5,11,65,228,14,5,25,https://api.vagalume.com.br/search.php?art=Katy%20Perry&mus=Firework&apikey=7789e585a72c1c95ab44a555ccc2b4e4
104,Muny - Album Version (Edited),Nicki Minaj,dance pop,2011,98,72,80,-5,19,53,227,56,33,7,https://api.vagalume.com.br/search.php?art=Nicki%20Minaj&mus=Muny%20-%20Album%20Version%20%28Edited%29&apikey=7789e585a72c1c95ab44a555ccc2b4e4
105,Titanium (feat. Sia),David Guetta,dance pop,2012,126,79,60,-4,13,30,245,7,10,80,https://api.vagalume.com.br/search.php?art=David%20Guetta&mus=Titanium%20%28feat.%20Sia%29&apikey=7789e585a72c1c95ab44a555ccc2b4e4
106,Locked Out of Heaven,Bruno Mars,pop,2012,144,70,73,-4,31,87,233,5,4,79,https://api.vagalume.com.br/search.php?art=Bruno%20Mars&mus=Locked%20Out%20of%20Heaven&apikey=7789e585a72c1c95ab44a555ccc2b4e4
107,Paradise,Coldplay,permanent wave,2012,140,59,45,-7,8,20,279,5,3,79,https://api.vagalume.com.br/search.php?art=Coldplay&mus=Paradise&apikey=7789e585a72c1c95ab44a555ccc2b4e4
108,Payphone,Maroon 5,pop,2012,110,75,74,-5,29,55,231,2,4,79,https://api.vagalume.com.br/search.php?art=Maroon%205&mus=Payphone&apikey=7789e585a72c1c95ab44a555ccc2b4e4
109,What Makes You Beautiful,One Direction,boy band,2012,125,79,73,-2,6,89,200,1,7,78,https://api.vagalume.com.br/search.php?art=One%20Direction&mus=What%20Makes%20You%20Beautiful&apikey=7789e585a72c1c95ab44a555ccc2b4e4
110,I Knew You Were Trouble.,Taylor Swift,pop,2012,77,47,62,-7,3,68,220,0,4,77,https://api.vagalume.com.br/search.php?art=Taylor%20Swift&mus=I%20Knew%20You%20Were%20Trouble.&apikey=7789e585a72c1c95ab44a555ccc2b4e4
111,Call Me Maybe,Carly Rae Jepsen,canadian pop,2012,120,58,78,-7,11,66,193,1,4,76,https://api.vagalume.com.br/search.php?art=Carly%20Rae%20Jepsen&mus=Call%20Me%20Maybe&apikey=7789e585a72c1c95ab44a555ccc2b4e4
112,Love You Like A Love Song,Selena Gomez & The Scene,dance pop,2012,117,68,86,-4,7,92,188,8,5,76,https://api.vagalume.com.br/search.php?art=Selena%20Gomez%20%26%20The%20Scene&mus=Love%20You%20Like%20A%20Love%20Song&apikey=7789e585a72c1c95ab44a555ccc2b4e4
113,Set Fire to the Rain,Adele,british soul,2012,108,68,61,-4,13,47,242,0,3,76,https://api.vagalume.com.br/search.php?art=Adele&mus=Set%20Fire%20to%20the%20Rain&apikey=7789e585a72c1c95ab44a555ccc2b4e4
